month,total_sby_need
2016-04-30,167.0
2016-05-31,594.0
2016-06-30,1511.0
2016-07-31,1561.0
2016-08-31,2187.0
2016-09-30,1088.0
2016-10-31,93.0
2016-11-30,345.0
2016-12-31,34.0
2017-01-31,0.0
2017-02-28,46.0
2017-03-31,461.0
2017-04-30,855.0
2017-05-31,1553.0
2017-06-30,1698.0
2017-07-31,1160.0
2017-08-31,2010.0
2017-09-30,794.0
2017-10-31,958.0
2017-11-30,413.0
2017-12-31,0.0
2018-01-31,0.0
2018-02-28,0.0
2018-03-31,484.0
2018-04-30,1158.0
2018-05-31,949.0
2018-06-30,2671.0
2018-07-31,1449.0
2018-08-31,1049.0
2018-09-30,1823.0
2018-10-31,1055.0
2018-11-30,233.0
2018-12-31,194.0
2019-01-31,168.0
2019-02-28,694.0
2019-03-31,2284.0
2019-04-30,3961.0
2019-05-31,4296.0
