Unnamed: 0,date,n_sick,calls,n_duty,n_sby,sby_need,dafted,Outlier,date_str,weekofyear,date_weekday,weekday_weekofyear,day,month,year,month_int,season,Feiertage,schulferien,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,avg_24,avg_25,avg_26,avg_27,avg_28,avg_29,avg_30
0,2016-04-01,73,8154.0,1700,90,4.0,0.0,False,2016-04-01,13,Fri,Fri 13,01,Apr,2016,4,Spring,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
1,2016-04-02,64,8526.0,1700,90,70.0,0.0,False,2016-04-02,13,Sat,Sat 13,02,Apr,2016,4,Spring,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
2,2016-04-03,68,8088.0,1700,90,0.0,0.0,False,2016-04-03,13,Sun,Sun 13,03,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
3,2016-04-04,71,7044.0,1700,90,0.0,0.0,False,2016-04-04,14,Mon,Mon 14,04,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
4,2016-04-05,63,7236.0,1700,90,0.0,0.0,False,2016-04-05,14,Tue,Tue 14,05,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
5,2016-04-06,70,6492.0,1700,90,0.0,0.0,False,2016-04-06,14,Wed,Wed 14,06,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
6,2016-04-07,64,6204.0,1700,90,0.0,0.0,False,2016-04-07,14,Thu,Thu 14,07,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
7,2016-04-08,62,7614.0,1700,90,0.0,0.0,False,2016-04-08,14,Fri,Fri 14,08,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
8,2016-04-09,51,5706.0,1700,90,0.0,0.0,False,2016-04-09,14,Sat,Sat 14,09,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
9,2016-04-10,54,6606.0,1700,90,0.0,0.0,False,2016-04-10,14,Sun,Sun 14,10,Apr,2016,4,Spring,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334,4.933333333333334
